num_of_prev_attempts,studied_credits,clicks_week1,clicks_week2,clicks_week3,click_trend,module_presentation_length,days_since_last_click,unique_resources,registered_late,unregistered_early,imd_band_enc,education_enc,age_enc,at_risk,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,total_clicks,gender_F,gender_M,region_East Anglian Region,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,disability_N,disability_Y
0,240,183,20,100,-83,268,15,55,0,0,9,3,3,0,0.0,0.0,0.0,0.0,0.2066381156316916,0.0,0.1477516059957173,0.0,0.0,0.5920770877944326,0.0,0.0,0.0,0.0,0.0,0.0,0.0139186295503211,0.0,0.0342612419700214,0.0053533190578158,934,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,175,66,37,-138,268,29,84,0,0,2,3,2,0,0.0069686411149825,0.0,0.0,0.0,0.2905923344947735,0.0,0.2257839721254355,0.0,0.0,0.3742160278745645,0.0,0.0,0.0,0.0,0.0,0.0,0.008362369337979,0.0,0.0606271777003484,0.0334494773519163,1435,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,60,107,72,0,-107,268,256,22,0,1,3,2,2,1,0.0,0.0,0.0,0.0,0.4483985765124555,0.0,0.2099644128113879,0.0,0.0,0.2348754448398576,0.0,0.0,0.0,0.0,0.0,0.0,0.0142348754448398,0.0,0.0782918149466192,0.0142348754448398,281,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,60,22,154,108,86,268,4,82,0,0,5,2,2,0,0.0009267840593141,0.0,0.0,0.0,0.293790546802595,0.000463392029657,0.2001853568118628,0.0,0.0,0.3873957367933272,0.0,0.0,0.0,0.0,0.0,0.0,0.0088044485634847,0.0,0.0667284522706209,0.041705282669138,2158,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,60,61,116,37,-24,268,21,66,0,0,5,1,1,0,0.0,0.0,0.0,0.0,0.1876208897485493,0.0038684719535783,0.1972920696324951,0.0,0.0,0.4777562862669245,0.0,0.0,0.0,0.0,0.0,0.0,0.0435203094777562,0.0,0.0764023210831721,0.0135396518375241,1034,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0,60,135,141,135,0,268,1,88,0,0,8,2,2,0,0.0028629856850715,0.0,0.0,0.0,0.3578732106339468,0.0016359918200408,0.2094069529652351,0.0,0.0,0.3680981595092024,0.0,0.0,0.0,0.0,0.0,0.0,0.0044989775051124,0.0,0.0372188139059304,0.0184049079754601,2445,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,60,74,0,190,116,268,1,59,0,0,3,3,1,0,0.0013404825737265,0.0,0.0,0.0,0.0824396782841823,0.0,0.2144772117962466,0.0,0.0013404825737265,0.6132707774798928,0.0,0.0,0.0,0.0,0.0,0.0,0.0053619302949061,0.0,0.0656836461126005,0.0160857908847185,1492,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,120,28,73,184,156,268,4,66,0,0,9,2,1,0,0.0028011204481792,0.0,0.0,0.0,0.299719887955182,0.0,0.2065826330532212,0.0,0.0007002801120448,0.3557422969187675,0.0,0.0,0.0,0.0,0.0,0.0,0.011204481792717,0.0,0.0840336134453781,0.0392156862745098,1428,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,90,26,65,161,135,268,23,76,0,0,7,2,1,0,0.0042238648363252,0.0,0.0,0.0,0.175818373812038,0.0,0.2513199577613516,0.0,0.0010559662090813,0.3769799366420274,0.0,0.0,0.0,0.0,0.0,0.0,0.0100316789862724,0.0,0.1129883843717001,0.0675818373812038,1894,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,103,103,118,15,268,11,80,0,0,3,4,3,0,0.0009499683343888,0.0,0.0,0.0,0.6250791640278658,0.0,0.1247625079164027,0.0,0.0,0.1820772640911969,0.0,0.0,0.0,0.0,0.0,0.0,0.0018999366687777,0.0,0.0392653578214059,0.025965801139962,3158,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,60,113,68,154,41,268,25,76,0,0,7,1,2,0,0.0037907505686125,0.0,0.0,0.0,0.0227445034116755,0.0060652009097801,0.2729340409401061,0.0,0.0,0.5367702805155421,0.0,0.0,0.0,0.0,0.0,0.0,0.0121304018195602,0.0,0.1000758150113722,0.045489006823351,1319,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,60,76,55,110,34,268,12,74,0,0,2,2,1,0,0.0046189376443418,0.0,0.0,0.0,0.132217090069284,0.0,0.2817551963048499,0.0,0.0011547344110854,0.4682448036951501,0.0,0.0,0.0,0.0,0.0,0.0,0.0034642032332563,0.0,0.0635103926096997,0.0450346420323325,1732,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,60,75,238,32,-43,268,23,52,0,0,6,1,2,0,0.0,0.0,0.0,0.0,0.1978221415607985,0.0,0.1950998185117967,0.0,0.0027223230490018,0.4727767695099819,0.0,0.0,0.0,0.0,0.0,0.0,0.0117967332123411,0.0,0.0907441016333938,0.029038112522686,1102,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
